id,arc de triomphe,arc de triomphe du carrousel,arènes de lutèce,assemblée nationale,av des champs-Élysées,basilique de st-denis,basilique du sacré-cœur,bateaux mouches,bibliothèque nationale de france,bois de boulogne,bois de vincennes,bourse de commerce,catacombes de paris,centre pompidou,champs-Élysées,chapelle expiatoire,cimetière de montmartre,cimetière du père lachaise,cinémathèque française,cité de la musique,cité des sciences et de lindustrie,conciergerie,dalí espace,eiffel tower,fondation cartier pour lart contemporain,forum des halles,gare montparnasse,grand palais,grande arche de la défense,hôtel de ville,hôtel des invalides,institut de france,institut du monde arabe,jardin des plantes,jardin des tuileries,jardin du luxembourg,jardin du palais royal,jeu de paume,la seine,maison de balzac,maison de victor hugo,maison européenne de la photographie,manufacture des gobelins,mosquée de paris,musée atelier zadkine,musée bourdelle,musée carnavalet,musée cernuschi,musée cognacq-jay,musée dapper,musée dart moderne de la ville de paris,musée dart naïf max fourny,musée de la chasse et de la nature,musée de la contrefaçon,musée de la curiosité et de la magie,musée de la monnaie de paris,musée de la poste,musée de la vie romantique,musée de lassistance publique-hôpitaux de paris,musée de lorangerie,musée de lÉrotisme,musée de montmartre,musée des arts et métiers,musée des arts forains,musée des Égouts de paris,musée dorsay,musée du fumeur,musée du louvre,musée du luxembourg,musée du montparnasse,musée du quai branly,musée du vin,musée galliera de la mode de la ville de paris,musée grévin,musée guimet des arts asiatiques,musée jacquemart-andré,musée marmottan-monet,musée national dhistoire naturelle,musée national du moyen age,musée national eugène delacroix,musée nissim de camondo,musée picasso,musée rodin,musée Édith piaf,mémorial des martyrs de la déportation,palais de la découverte,palais de tokyo,panthéon,parc de belleville,parc de bercy,parc de la villette,parc des buttes-chaumont,parc du champ de mars,petit palais,place de la bastille,place de la concorde,place de la madeleine,place des vosges,place du tertre,place vendôme,pletzl,pont neuf,promenade plantée,quartier latin,sainte chapelle,sorbonne,stade de france,tour montparnasse,viaduc des arts,Église st-eustache,Église st-germain des prés,Église st-germain lauxerrois,Église st-sulpice,Église st-Étienne du mont
musée du louvre,13,1,9,5,12,32,24,9,13,16,19,4,18,9,12,11,17,27,13,25,25,7,20,9,12,7,17,6,25,5,10,5,9,11,1,11,5,6,11,13,12,8,15,12,11,17,10,15,10,17,11,17,9,18,7,4,13,14,5,6,16,22,9,13,8,4,16,0,9,12,9,12,10,8,10,12,17,12,7,8,14,11,8,18,9,7,8,8,21,12,23,21,9,6,10,5,8,11,20,8,13,3,13,6,7,7,27,12,13,9,7,2,8,9
musée du luxembourg,17,8,7,10,16,32,26,14,13,21,19,11,11,11,16,15,21,27,13,24,26,5,24,14,6,8,10,11,30,7,10,6,6,8,9,3,12,10,12,18,14,10,9,9,3,12,12,19,12,21,15,19,10,23,9,5,7,18,7,10,22,27,11,14,12,9,16,8,0,6,14,17,15,15,15,16,22,9,4,5,19,13,9,19,6,12,13,4,22,12,25,22,10,11,10,10,13,13,24,13,14,6,13,4,5,4,27,6,13,14,3,9,1,5
musée du montparnasse,14,10,11,7,13,33,26,10,18,17,24,14,10,15,13,14,21,32,18,29,30,9,23,10,5,13,7,8,26,12,6,11,11,13,9,7,13,9,17,14,19,14,11,13,6,9,17,15,17,17,12,23,15,19,14,10,4,20,12,9,21,25,16,18,8,10,21,11,5,0,10,13,11,16,11,13,18,14,9,8,15,18,5,24,11,9,10,9,27,17,30,27,6,8,15,9,12,18,23,13,19,11,18,9,9,9,28,3,18,18,7,12,6,10
musée du quai branly,7,6,14,5,6,26,23,3,20,10,25,10,19,14,6,11,18,33,19,23,23,12,20,3,14,12,13,4,19,11,6,10,13,15,5,13,9,5,16,6,18,13,19,17,13,13,16,12,15,10,4,19,14,12,13,10,12,15,11,5,17,21,15,19,1,7,22,7,12,11,0,7,4,12,4,8,11,16,12,10,12,17,6,23,13,4,3,13,26,17,23,24,3,4,15,4,7,17,20,9,18,8,19,11,12,12,21,11,19,14,9,8,11,14
musée du vin,9,9,18,10,9,26,26,7,21,10,26,13,22,17,9,14,21,32,22,23,22,16,23,5,18,15,17,7,20,14,12,13,17,19,8,17,12,8,19,7,21,16,23,21,17,17,19,15,19,12,7,22,17,13,16,13,17,18,14,8,20,24,18,22,7,10,25,10,16,16,6,0,7,15,7,12,8,20,16,14,15,20,11,26,17,7,6,17,29,22,23,27,5,7,18,7,10,20,23,12,21,11,22,15,16,16,21,17,22,17,12,11,15,18
musée galliera de la mode de la ville de paris,3,7,15,7,4,23,22,4,19,7,25,10,21,15,4,11,17,29,19,20,19,13,18,4,15,13,16,5,16,11,10,11,15,17,5,15,10,5,16,6,18,14,21,18,14,16,16,9,16,7,2,19,15,9,13,10,15,16,11,5,17,20,15,19,4,8,22,7,13,13,5,6,0,12,1,7,8,18,13,11,10,17,8,24,15,4,1,14,27,18,20,25,4,5,16,5,8,17,19,9,18,9,19,12,13,13,18,14,19,15,10,8,12,16
musée grévin,11,11,15,10,11,25,16,13,18,16,25,6,24,9,11,4,9,26,19,18,18,12,12,14,18,9,23,8,24,11,14,10,14,16,8,16,4,8,10,16,14,13,20,18,17,22,12,8,12,15,13,9,11,17,13,10,19,7,11,8,9,14,6,19,13,11,15,5,15,18,14,15,12,0,13,8,20,18,13,14,7,13,13,14,14,10,11,14,16,17,16,15,15,8,14,7,6,13,12,4,15,8,19,12,12,13,20,18,19,9,13,7,14,15
musée guimet des arts asiatiques,3,6,15,7,5,23,22,3,18,6,25,10,21,14,5,11,17,29,19,20,19,13,18,3,15,12,15,4,16,11,9,10,14,16,5,14,9,5,16,5,18,13,20,18,14,15,16,9,16,7,1,19,14,8,13,10,15,15,11,5,17,20,15,19,3,7,22,7,13,13,4,5,1,12,0,6,7,17,13,11,10,17,7,23,14,4,1,14,26,17,20,24,3,4,15,4,7,17,19,9,18,8,19,12,13,13,18,14,19,14,9,8,12,15
musée jacquemart-andré,3,8,16,8,4,21,16,8,20,8,26,11,22,16,4,4,11,28,20,19,18,15,12,9,16,14,18,4,16,12,10,12,16,18,6,16,10,6,18,12,19,15,22,19,15,18,17,5,17,7,7,13,16,9,14,11,16,9,12,6,11,14,14,20,8,9,24,8,14,14,9,11,7,10,7,0,12,19,15,12,4,18,8,23,16,6,7,15,23,19,19,19,9,4,17,6,5,18,13,8,20,10,20,13,15,14,17,15,20,16,11,9,13,17
musée marmottan-monet,9,13,22,14,12,18,22,10,21,2,23,17,19,21,12,16,20,25,22,16,15,20,21,8,22,19,20,11,12,18,15,17,21,23,12,21,16,12,23,6,25,20,23,25,21,20,23,13,22,8,8,21,21,6,20,17,21,21,18,12,20,22,22,20,10,14,29,14,20,19,9,10,8,19,8,12,0,23,20,18,13,24,14,29,21,11,8,21,25,19,16,20,8,11,22,11,14,24,21,16,25,15,24,19,20,20,14,20,24,21,16,15,19,22
